method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
tpca 0.95 0.9 1.3 500 11.62 1.741 9 11
tpca 0.99 0.9 1.3 500 11.62 1.741 9 11
tpca 0.995 0.9 1.3 500 11.62 1.741 9 11
tpca 0.999 0.9 1.3 500 11.62 1.741 9 11
mix 0.03 0.9 1.3 500 2.882 0.323 2 3
mix 0.1 0.9 1.3 500 2.442 0.497 2 2
mix 0.3 0.9 1.3 500 2.164 0.371 2 2
mix 1 0.9 1.3 500 2.05 0.218 2 2
max_pca 1 0.7 0.5 500 1227.108 911.136 62.9 2000
max_pca 2 0.7 0.5 500 480.502 724.67 58.95 140
max_pca 3 0.7 0.5 500 162.662 292.243 55.95 108.025
max_pca 5 0.7 0.5 500 84.144 19.707 51.475 81
max_pca 10 0.7 0.5 500 63.03 11.651 43 62
max_pca 20 0.7 0.5 500 43.498 6.702 31.475 42
min_pca 1 0.7 0.5 500 441.606 790.57 6 32.025
min_pca 2 0.7 0.5 500 46.86 177.293 9 23
min_pca 3 0.7 0.5 500 40.346 23.744 14 33
min_pca 5 0.7 0.5 500 50.116 20.976 22 45
min_pca 10 0.7 0.5 500 56.654 15.078 32 54
min_pca 20 0.7 0.5 500 58.262 10.01 41.475 57.025
tpca 0.8 0.7 0.5 500 54.328 15.439 30 52
tpca 0.9 0.7 0.5 500 56.722 11.221 38 55
tpca 0.95 0.7 0.5 500 57.852 10.361 40.475 57
tpca 0.99 0.7 0.5 500 57.852 10.361 40.475 57
tpca 0.995 0.7 0.5 500 57.852 10.361 40.475 57
tpca 0.999 0.7 0.5 500 57.852 10.361 40.475 57
mix 0.03 0.7 0.5 500 10.564 2.294 6 10
mix 0.1 0.7 0.5 500 9.146 1.931 6 9
mix 0.3 0.7 0.5 500 8.416 1.781 5 8
mix 1 0.7 0.5 500 8.06 1.716 5 8
max_pca 1 0.7 0.7 500 768.38 893.36 39 149.025
max_pca 2 0.7 0.7 500 233.034 480.501 37 96
max_pca 3 0.7 0.7 500 98.306 126.382 42 84
max_pca 5 0.7 0.7 500 67.474 18.397 36.475 64
max_pca 10 0.7 0.7 500 49.376 10.59 32 47
max_pca 20 0.7 0.7 500 32.182 5.579 22.475 31
min_pca 1 0.7 0.7 500 320.824 701.246 4 17.025
min_pca 2 0.7 0.7 500 17.516 16.011 5 13
min_pca 3 0.7 0.7 500 24.048 14.319 9 19
min_pca 5 0.7 0.7 500 30.984 13.644 13 27
min_pca 10 0.7 0.7 500 36.934 10.688 21 35
min_pca 20 0.7 0.7 500 37.826 7.169 25.475 37
tpca 0.8 0.7 0.7 500 34.838 10.65 19 32
tpca 0.9 0.7 0.7 500 37.572 8.356 24 36
tpca 0.95 0.7 0.7 500 37.518 7.393 25 37
tpca 0.99 0.7 0.7 500 37.518 7.393 25 37
tpca 0.995 0.7 0.7 500 37.518 7.393 25 37
tpca 0.999 0.7 0.7 500 37.518 7.393 25 37
mix 0.03 0.7 0.7 500 6.224 1.064 4 6
mix 0.1 0.7 0.7 500 5.416 0.972 4 5
mix 0.3 0.7 0.7 500 5.014 0.892 3 5
mix 1 0.7 0.7 500 4.828 0.89 3 5
max_pca 1 0.7 1 500 419.486 728.519 23.475 75.025
max_pca 2 0.7 1 500 95.4 245.763 23 54
max_pca 3 0.7 1 500 63.238 91.021 25 52
max_pca 5 0.7 1 500 48.018 15.503 24.475 45
max_pca 10 0.7 1 500 33.424 8.276 21 32
