method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.03 0.95 1.5 500 5.04 1.041 3 5
mix 0.1 0.95 1.5 500 4.622 0.919 3 5
mix 0.3 0.95 1.5 500 4.436 0.869 3 4
mix 1 0.95 1.5 500 4.386 0.848 3 4
max_pca 1 0.95 2 500 87.644 217.644 15 53.025
max_pca 2 0.95 2 500 71.13 152.425 21 52
max_pca 3 0.95 2 500 84.22 174.453 27.475 63
max_pca 5 0.95 2 500 86.656 90.273 39.475 77
max_pca 10 0.95 2 500 61.002 15.081 36 59
max_pca 20 0.95 2 500 30.546 5.939 20 30
min_pca 1 0.95 2 500 21.376 10.327 5 19.025
min_pca 2 0.95 2 500 17.562 6.128 8 16
min_pca 3 0.95 2 500 15.364 4.076 9 15
min_pca 5 0.95 2 500 14.64 3.003 9 14
min_pca 10 0.95 2 500 13.22 1.987 10 13
min_pca 20 0.95 2 500 11.994 1.372 10 12
tpca 0.8 0.95 2 500 17.562 6.128 8 16
tpca 0.9 0.95 2 500 13.104 2.321 9 13
tpca 0.95 0.95 2 500 11.972 1.601 9 12
tpca 0.99 0.95 2 500 11.52 1.423 9 11
tpca 0.995 0.95 2 500 11.52 1.423 9 11
tpca 0.999 0.95 2 500 11.52 1.423 9 11
mix 0.03 0.95 2 500 2.46 0.499 2 2
mix 0.1 0.95 2 500 2.276 0.447 2 2
mix 0.3 0.95 2 500 2.208 0.406 2 2
mix 1 0.95 2 500 2.18 0.385 2 2
max_pca 1 0.9 0.5 500 46.37 23.948 22 42
max_pca 2 0.9 0.5 500 31.32 8.427 18.475 29.025
max_pca 3 0.9 0.5 500 25.542 5.29 17 25
max_pca 5 0.9 0.5 500 20.352 3.012 15 20
max_pca 10 0.9 0.5 500 16.138 1.821 13 16
max_pca 20 0.9 0.5 500 11.74 1.145 10 12
min_pca 1 0.9 0.5 500 1876.014 466.983 108.375 2000
min_pca 2 0.9 0.5 500 1992.664 115.891 2000 2000
min_pca 3 0.9 0.5 500 2000 0 2000 2000
min_pca 5 0.9 0.5 500 2000 0 2000 2000
min_pca 10 0.9 0.5 500 2000 0 2000 2000
min_pca 20 0.9 0.5 500 2000 0 2000 2000
tpca 0.8 0.9 0.5 500 1992.664 115.891 2000 2000
tpca 0.9 0.9 0.5 500 2000 0 2000 2000
tpca 0.95 0.9 0.5 500 2000 0 2000 2000
tpca 0.99 0.9 0.5 500 2000 0 2000 2000
tpca 0.995 0.9 0.5 500 2000 0 2000 2000
tpca 0.999 0.9 0.5 500 2000 0 2000 2000
mix 0.03 0.9 0.5 500 5.122 0.71 4 5
mix 0.1 0.9 0.5 500 4.264 0.612 3 4
mix 0.3 0.9 0.5 500 3.804 0.546 3 4
mix 1 0.9 0.5 500 3.432 0.527 3 3
max_pca 1 0.9 0.75 500 244.368 429.742 57.475 124
max_pca 2 0.9 0.75 500 77.618 21.949 42 75
max_pca 3 0.9 0.75 500 56.136 11.691 35.475 55
max_pca 5 0.9 0.75 500 40.874 6.455 29 40
max_pca 10 0.9 0.75 500 31.946 4.006 25 31.025
max_pca 20 0.9 0.75 500 23.266 2.535 18.475 23
min_pca 1 0.9 0.75 500 2000 0 2000 2000
min_pca 2 0.9 0.75 500 2000 0 2000 2000
min_pca 3 0.9 0.75 500 2000 0 2000 2000
min_pca 5 0.9 0.75 500 2000 0 2000 2000
min_pca 10 0.9 0.75 500 2000 0 2000 2000
min_pca 20 0.9 0.75 500 2000 0 2000 2000
tpca 0.8 0.9 0.75 500 2000 0 2000 2000
tpca 0.9 0.9 0.75 500 2000 0 2000 2000
tpca 0.95 0.9 0.75 500 2000 0 2000 2000
tpca 0.99 0.9 0.75 500 2000 0 2000 2000
tpca 0.995 0.9 0.75 500 2000 0 2000 2000
tpca 0.999 0.9 0.75 500 2000 0 2000 2000
mix 0.03 0.9 0.75 500 15.528 2.885 10 15
mix 0.1 0.9 0.75 500 12.836 2.457 8 13
mix 0.3 0.9 0.75 500 11.194 2.188 7 11
mix 1 0.9 0.75 500 10.278 2.001 7 10
max_pca 1 0.9 1.5 500 1960.034 266.848 2000 2000
max_pca 2 0.9 1.5 500 2000 0 2000 2000
max_pca 3 0.9 1.5 500 2000 0 2000 2000
max_pca 5 0.9 1.5 500 2000 0 2000 2000
max_pca 10 0.9 1.5 500 2000 0 2000 2000
max_pca 20 0.9 1.5 500 2000 0 2000 2000
min_pca 1 0.9 1.5 500 55.574 25.352 20 50
