method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
min_pca 3 0.05 1 500 2.04 0.294 2 2
min_pca 5 0.05 1 500 2.014 0.118 2 2
min_pca 10 0.05 1 500 2.018 0.133 2 2
min_pca 20 0.05 1 500 2.164 0.376 2 2
min_pca 40 0.05 1 500 2.71 0.665 2 3
tpca 0.8 0.05 1 500 5.732 1.539 4 5
tpca 0.9 0.05 1 500 3.36 0.901 2 3
tpca 0.95 0.05 1 500 2.804 0.776 2 3
tpca 0.99 0.05 1 500 2.804 0.776 2 3
tpca 0.995 0.05 1 500 2.804 0.776 2 3
tpca 0.999 0.05 1 500 2.804 0.776 2 3
mix 0.03 0.05 1 500 7.68 1.483 5 7.025
mix 0.1 0.05 1 500 7.858 1.617 5 8
mix 0.3 0.05 1 500 8.468 1.955 5 8
mix 1 0.05 1 500 9.306 2.459 5 9
max_pca 1 0.02 0.5 500 714.682 725.333 99 304
max_pca 2 0.02 0.5 500 229.546 258.348 79 166
max_pca 3 0.02 0.5 500 151.98 61.903 73.475 143
max_pca 5 0.02 0.5 500 122.978 30.758 71.475 118
max_pca 10 0.02 0.5 500 100.706 20.222 65.475 98
max_pca 20 0.02 0.5 500 83.99 14.658 58 82
max_pca 40 0.02 0.5 500 75.61 11.471 55 74
min_pca 1 0.02 0.5 500 36.544 235.285 2 2
min_pca 2 0.02 0.5 500 4.076 6.427 2 2
min_pca 3 0.02 0.5 500 3.418 3.714 2 2
min_pca 5 0.02 0.5 500 3.414 2.294 2 3
min_pca 10 0.02 0.5 500 4.37 2.248 2 4
min_pca 20 0.02 0.5 500 6.34 3.223 3 5
min_pca 40 0.02 0.5 500 9.16 5.621 3 7
tpca 0.8 0.02 0.5 500 29.852 7.741 17 29
tpca 0.9 0.02 0.5 500 14.048 6.818 4 13
tpca 0.95 0.02 0.5 500 9.758 6.436 3 7
tpca 0.99 0.02 0.5 500 9.758 6.436 3 7
tpca 0.995 0.02 0.5 500 9.758 6.436 3 7
tpca 0.999 0.02 0.5 500 9.758 6.436 3 7
mix 0.03 0.02 0.5 500 46.086 14.033 20 45
mix 0.1 0.02 0.5 500 51.686 17.904 20 50
mix 0.3 0.02 0.5 500 62.078 23.825 19 60
mix 1 0.02 0.5 500 73.156 31.922 20 69
max_pca 1 0.02 0.7 500 710.356 721.275 83.95 314
max_pca 2 0.02 0.7 500 233.168 276.528 78.95 161
max_pca 3 0.02 0.7 500 149.116 64.03 73 138
max_pca 5 0.02 0.7 500 119.574 29.587 68 116
max_pca 10 0.02 0.7 500 98.054 18.835 62 96.025
max_pca 20 0.02 0.7 500 82.606 13.129 59 81
max_pca 40 0.02 0.7 500 74.318 10.477 55 73
min_pca 1 0.02 0.7 500 25.298 179.354 2 2
min_pca 2 0.02 0.7 500 3.612 9.734 2 2
min_pca 3 0.02 0.7 500 2.626 2.695 2 2
min_pca 5 0.02 0.7 500 2.558 1.903 2 2
