method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
tpca 0.99 0.7 0.5 500 2.004 0.063 2 2
tpca 0.995 0.7 0.5 500 2.004 0.063 2 2
tpca 0.999 0.7 0.5 500 2 0 2 2
mix 0.03 0.7 0.75 500 18.722 4.112 11 18
mix 0.1 0.7 0.75 500 15.456 3.912 8 15
mix 0.3 0.7 0.75 500 13.828 3.651 7 14
mix 1 0.7 0.75 500 12.74 3.484 6.475 12
max_pca 1 0.7 0.75 500 279.56 464.465 58.475 145.025
max_pca 2 0.7 0.75 500 88.014 29.596 39.475 83
max_pca 3 0.7 0.75 500 68.656 21.038 32.475 67
max_pca 5 0.7 0.75 500 50.91 14.018 26.475 49
max_pca 10 0.7 0.75 500 33.594 8.133 19 33
max_pca 20 0.7 0.75 500 42.764 7.998 28 42
min_pca 1 0.7 0.75 500 2.02 0.14 2 2
min_pca 2 0.7 0.75 500 2.032 0.176 2 2
min_pca 3 0.7 0.75 500 2.052 0.231 2 2
min_pca 5 0.7 0.75 500 2.112 0.334 2 2
min_pca 10 0.7 0.75 500 2.414 0.589 2 2
min_pca 20 0.7 0.75 500 3.542 0.788 3 3
tpca 0.8 0.7 0.75 500 2.02 0.14 2 2
tpca 0.9 0.7 0.75 500 2.02 0.14 2 2
tpca 0.95 0.7 0.75 500 2.02 0.14 2 2
tpca 0.99 0.7 0.75 500 2.02 0.14 2 2
tpca 0.995 0.7 0.75 500 2.02 0.14 2 2
tpca 0.999 0.7 0.75 500 2.032 0.176 2 2
mix 0.03 0.7 1.5 500 6.028 1.463 4 6
mix 0.1 0.7 1.5 500 5.556 1.388 3 5
mix 0.3 0.7 1.5 500 5.372 1.35 3 5
mix 1 0.7 1.5 500 5.34 1.397 3 5
max_pca 1 0.7 1.5 500 1997.118 64.443 2000 2000
max_pca 2 0.7 1.5 500 1989.82 126.238 2000 2000
max_pca 3 0.7 1.5 500 1985.75 158.963 2000 2000
max_pca 5 0.7 1.5 500 1978.03 199.651 2000 2000
max_pca 10 0.7 1.5 500 894.394 901.435 71 194.05
max_pca 20 0.7 1.5 500 66.836 17.437 39 64
min_pca 1 0.7 1.5 500 2.01 0.1 2 2
min_pca 2 0.7 1.5 500 2.004 0.063 2 2
min_pca 3 0.7 1.5 500 2.002 0.045 2 2
min_pca 5 0.7 1.5 500 2.004 0.063 2 2
min_pca 10 0.7 1.5 500 2.034 0.181 2 2
min_pca 20 0.7 1.5 500 2.312 0.472 2 2
tpca 0.8 0.7 1.5 500 2.01 0.1 2 2
