method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.95 0.75 500 1818.546 538.99 149.8 2000
max_pca 2 0.95 0.75 500 1297.732 884.147 102.475 2000
max_pca 3 0.95 0.75 500 1031.498 910.623 100.375 248
max_pca 5 0.95 0.75 500 438.716 663.946 78.475 161
max_pca 10 0.95 0.75 500 112.706 28.161 68 110
max_pca 20 0.95 0.75 500 73.62 15.703 43.475 73
min_pca 1 0.95 0.75 500 2.034 0.212 2 2
min_pca 2 0.95 0.75 500 2.032 0.198 2 2
min_pca 3 0.95 0.75 500 2.042 0.229 2 2
min_pca 5 0.95 0.75 500 2.072 0.281 2 2
min_pca 10 0.95 0.75 500 2.46 0.559 2 2
min_pca 20 0.95 0.75 500 3.642 0.641 3 4
tpca 0.8 0.95 0.75 500 2.034 0.212 2 2
tpca 0.9 0.95 0.75 500 2.034 0.212 2 2
tpca 0.95 0.95 0.75 500 2.034 0.212 2 2
tpca 0.99 0.95 0.75 500 2.054 0.259 2 2
tpca 0.995 0.95 0.75 500 2.1 0.332 2 2
tpca 0.999 0.95 0.75 500 2.29 0.492 2 2
mix 0.03 0.9 0 500 1983.452 130.334 2000 2000
mix 0.1 0.9 0 500 1975.71 173.512 2000 2000
mix 0.3 0.9 0 500 1975.836 164.972 2000 2000
mix 1 0.9 0 500 1980.91 152.748 2000 2000
max_pca 1 0.9 0 500 45.026 11.685 25.475 43
max_pca 2 0.9 0 500 30.04 6.787 18 29
max_pca 3 0.9 0 500 25.602 5.369 15.475 25
max_pca 5 0.9 0 500 22.344 4.361 15 22
max_pca 10 0.9 0 500 20.328 3.386 14 20
max_pca 20 0.9 0 500 19.582 3.068 14 19
min_pca 1 0.9 0 500 2.018 0.147 2 2
min_pca 2 0.9 0 500 2.006 0.077 2 2
min_pca 3 0.9 0 500 2.002 0.045 2 2
min_pca 5 0.9 0 500 2.004 0.063 2 2
min_pca 10 0.9 0 500 2.022 0.147 2 2
min_pca 20 0.9 0 500 2.34 0.478 2 2
tpca 0.8 0.9 0 500 2.018 0.147 2 2
tpca 0.9 0.9 0 500 2.018 0.147 2 2
tpca 0.95 0.9 0 500 2.018 0.147 2 2
tpca 0.99 0.9 0 500 2.008 0.089 2 2
tpca 0.995 0.9 0 500 2.012 0.109 2 2
tpca 0.999 0.9 0 500 2.022 0.147 2 2
mix 0.03 0.9 0.25 500 1965.912 206.405 1402.775 2000
mix 0.1 0.9 0.25 500 1960.23 221.717 1185.425 2000
mix 0.3 0.9 0.25 500 1964.002 213.192 1327.05 2000
mix 1 0.9 0.25 500 1973.366 173.219 1815.175 2000
max_pca 1 0.9 0.25 500 84.174 27.385 35 82
max_pca 2 0.9 0.25 500 54.094 15.49 26 52
max_pca 3 0.9 0.25 500 45.766 11.762 25 44
max_pca 5 0.9 0.25 500 38.574 8.651 22.475 38
max_pca 10 0.9 0.25 500 33.096 6.364 21 32
max_pca 20 0.9 0.25 500 29.576 5.049 20.475 29
min_pca 1 0.9 0.25 500 2.01 0.118 2 2
min_pca 2 0.9 0.25 500 2.004 0.063 2 2
min_pca 3 0.9 0.25 500 2 0 2 2
min_pca 5 0.9 0.25 500 2.004 0.063 2 2
min_pca 10 0.9 0.25 500 2.052 0.222 2 2
min_pca 20 0.9 0.25 500 2.588 0.517 2 3
tpca 0.8 0.9 0.25 500 2.01 0.118 2 2
tpca 0.9 0.9 0.25 500 2.01 0.118 2 2
tpca 0.95 0.9 0.25 500 2.01 0.118 2 2
tpca 0.99 0.9 0.25 500 2.01 0.1 2 2
tpca 0.995 0.9 0.25 500 2.024 0.153 2 2
tpca 0.999 0.9 0.25 500 2.05 0.218 2 2
mix 0.03 0.9 0.5 500 1971.13 186.108 1567.95 2000
mix 0.1 0.9 0.5 500 1971.054 170.999 1515.975 2000
mix 0.3 0.9 0.5 500 1972.032 179.415 1584 2000
mix 1 0.9 0.5 500 1975.87 173.155 2000 2000
max_pca 1 0.9 0.5 500 467.006 662.447 67 172
max_pca 2 0.9 0.5 500 109.092 39.134 49 102.025
max_pca 3 0.9 0.5 500 88.644 25.59 44 85.025
max_pca 5 0.9 0.5 500 71.13 18.384 39 69
max_pca 10 0.9 0.5 500 56.586 12.497 35 55
max_pca 20 0.9 0.5 500 45.13 8.655 29 44
min_pca 1 0.9 0.5 500 2.042 0.246 2 2
min_pca 2 0.9 0.5 500 2.014 0.118 2 2
min_pca 3 0.9 0.5 500 2.016 0.126 2 2
min_pca 5 0.9 0.5 500 2.026 0.159 2 2
min_pca 10 0.9 0.5 500 2.144 0.351 2 2
min_pca 20 0.9 0.5 500 2.994 0.52 2 3
tpca 0.8 0.9 0.5 500 2.042 0.246 2 2
tpca 0.9 0.9 0.5 500 2.042 0.246 2 2
tpca 0.95 0.9 0.5 500 2.042 0.246 2 2
tpca 0.99 0.9 0.5 500 2.038 0.191 2 2
tpca 0.995 0.9 0.5 500 2.062 0.241 2 2
tpca 0.999 0.9 0.5 500 2.124 0.348 2 2
mix 0.03 0.9 0.75 500 1923.07 321.551 539.675 2000
mix 0.1 0.9 0.75 500 1921.73 311.541 655.975 2000
mix 0.3 0.9 0.75 500 1920.186 308.227 686.95 2000
mix 1 0.9 0.75 500 1887.934 366.144 397.525 2000
max_pca 1 0.9 0.75 500 1791.918 563.364 150.475 2000
max_pca 2 0.9 0.75 500 1367.926 864.005 111.475 2000
max_pca 3 0.9 0.75 500 1052.096 909.781 103.9 271.025
max_pca 5 0.9 0.75 500 449.796 674.41 80.95 159
max_pca 10 0.9 0.75 500 114.128 27.148 68.475 110
max_pca 20 0.9 0.75 500 74.126 16.394 45 72
min_pca 1 0.9 0.75 500 2.032 0.187 2 2
min_pca 2 0.9 0.75 500 2.038 0.202 2 2
min_pca 3 0.9 0.75 500 2.05 0.227 2 2
min_pca 5 0.9 0.75 500 2.094 0.299 2 2
min_pca 10 0.9 0.75 500 2.488 0.557 2 2
min_pca 20 0.9 0.75 500 3.768 0.709 3 4
tpca 0.8 0.9 0.75 500 2.032 0.187 2 2
tpca 0.9 0.9 0.75 500 2.032 0.187 2 2
tpca 0.95 0.9 0.75 500 2.032 0.187 2 2
tpca 0.99 0.9 0.75 500 2.07 0.263 2 2
tpca 0.995 0.9 0.75 500 2.102 0.316 2 2
tpca 0.999 0.9 0.75 500 2.324 0.509 2 2
mix 0.03 0.7 0 500 1982.362 128.955 2000 2000
mix 0.1 0.7 0 500 1976.314 164.47 1909.175 2000
mix 0.3 0.7 0 500 1982.858 146.093 2000 2000
mix 1 0.7 0 500 1977.182 164.572 2000 2000
max_pca 1 0.7 0 500 45.718 11.701 22.475 44
max_pca 2 0.7 0 500 29.798 7.014 17 29
max_pca 3 0.7 0 500 25.472 5.602 16 25
max_pca 5 0.7 0 500 22.28 4.532 14 22
max_pca 10 0.7 0 500 20.246 3.397 14 20
max_pca 20 0.7 0 500 19.56 3.044 14 19
min_pca 1 0.7 0 500 2.004 0.063 2 2
min_pca 2 0.7 0 500 2.004 0.063 2 2
min_pca 3 0.7 0 500 2.002 0.045 2 2
min_pca 5 0.7 0 500 2.002 0.045 2 2
min_pca 10 0.7 0 500 2.01 0.1 2 2
min_pca 20 0.7 0 500 2.324 0.477 2 2
tpca 0.8 0.7 0 500 2.004 0.063 2 2
tpca 0.9 0.7 0 500 2.004 0.063 2 2
tpca 0.95 0.7 0 500 2.004 0.063 2 2
tpca 0.99 0.7 0 500 2.006 0.077 2 2
tpca 0.995 0.7 0 500 2.01 0.1 2 2
tpca 0.999 0.7 0 500 2.02 0.14 2 2
mix 0.03 0.7 0.25 500 1971.856 193.022 2000 2000
mix 0.1 0.7 0.25 500 1974.016 199.925 2000 2000
mix 0.3 0.7 0.25 500 1976.544 182.518 1948.05 2000
mix 1 0.7 0.25 500 1979.084 167.021 1990.025 2000
max_pca 1 0.7 0.25 500 87.034 30.305 40.475 83
max_pca 2 0.7 0.25 500 55.368 14.931 29.475 53
max_pca 3 0.7 0.25 500 46.286 12.025 26 45
max_pca 5 0.7 0.25 500 38.566 8.534 24 37
max_pca 10 0.7 0.25 500 32.944 5.809 22 32
max_pca 20 0.7 0.25 500 29.276 4.898 20 29
min_pca 1 0.7 0.25 500 2.016 0.141 2 2
min_pca 2 0.7 0.25 500 2.006 0.077 2 2
min_pca 3 0.7 0.25 500 2 0 2 2
min_pca 5 0.7 0.25 500 2.002 0.045 2 2
min_pca 10 0.7 0.25 500 2.038 0.191 2 2
min_pca 20 0.7 0.25 500 2.604 0.521 2 3
tpca 0.8 0.7 0.25 500 2.016 0.141 2 2
tpca 0.9 0.7 0.25 500 2.016 0.141 2 2
tpca 0.95 0.7 0.25 500 2.016 0.141 2 2
tpca 0.99 0.7 0.25 500 2.004 0.063 2 2
tpca 0.995 0.7 0.25 500 2.02 0.14 2 2
