method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
min_pca 3 0.9 1.3 500 2 0 2 2
min_pca 5 0.9 1.3 500 2 0 2 2
min_pca 10 0.9 1.3 500 2 0 2 2
min_pca 20 0.9 1.3 500 2 0 2 2
tpca 0.8 0.9 1.3 500 2 0 2 2
tpca 0.9 0.9 1.3 500 2 0 2 2
tpca 0.95 0.9 1.3 500 2 0 2 2
tpca 0.99 0.9 1.3 500 2 0 2 2
tpca 0.995 0.9 1.3 500 2 0 2 2
tpca 0.999 0.9 1.3 500 2 0 2 2
mix 0.03 0.7 0.5 500 10.372 2.315 6 10
mix 0.1 0.7 0.5 500 8.958 2.013 5 9
mix 0.3 0.7 0.5 500 8.334 1.865 5 8
mix 1 0.7 0.5 500 7.972 1.818 4 8
max_pca 1 0.7 0.5 500 1803.112 553.19 130.95 2000
max_pca 2 0.7 0.5 500 1191.762 906.255 78.425 2000
max_pca 3 0.7 0.5 500 995.018 911.037 76.475 222
max_pca 5 0.7 0.5 500 450.484 694.132 58 142.025
max_pca 10 0.7 0.5 500 102.846 151.123 43.475 84.025
max_pca 20 0.7 0.5 500 94.45 123.556 45.475 82.025
min_pca 1 0.7 0.5 500 6.268 89.432 2 2
min_pca 2 0.7 0.5 500 2.056 1.208 2 2
min_pca 3 0.7 0.5 500 2.004 0.089 2 2
min_pca 5 0.7 0.5 500 2.004 0.063 2 2
min_pca 10 0.7 0.5 500 2.02 0.154 2 2
min_pca 20 0.7 0.5 500 2.126 0.398 2 2
tpca 0.8 0.7 0.5 500 2.004 0.063 2 2
tpca 0.9 0.7 0.5 500 2.004 0.063 2 2
tpca 0.95 0.7 0.5 500 2.012 0.126 2 2
tpca 0.99 0.7 0.5 500 2.012 0.126 2 2
tpca 0.995 0.7 0.5 500 2.018 0.147 2 2
tpca 0.999 0.7 0.5 500 2.026 0.171 2 2
mix 0.03 0.7 0.7 500 6.072 1.091 4 6
mix 0.1 0.7 0.7 500 5.334 0.955 4 5
mix 0.3 0.7 0.7 500 4.904 0.917 3 5
mix 1 0.7 0.7 500 4.712 0.925 3 5
max_pca 1 0.7 0.7 500 1705.66 663.693 107.375 2000
max_pca 2 0.7 0.7 500 940.91 912.453 60.475 210
max_pca 3 0.7 0.7 500 700.51 850.051 53.475 168
max_pca 5 0.7 0.7 500 233.866 464.465 42 109.025
