method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 20 0.02 0 500 71.536 10.211 52 70
min_pca 1 0.02 0 500 1284.346 931.251 22.475 2000
min_pca 2 0.02 0 500 1319.108 913.133 44 2000
min_pca 3 0.02 0 500 997.352 938.181 57 185.025
min_pca 5 0.02 0 500 568.682 783.803 73 159
min_pca 10 0.02 0 500 145.688 120.559 91.475 137
min_pca 20 0.02 0 500 140.53 18.681 105 139.025
tpca 0.8 0.02 0 500 997.352 938.181 57 185.025
tpca 0.9 0.02 0 500 351.642 592.755 78.475 145.025
tpca 0.95 0.02 0 500 143.12 120.613 87.95 135
tpca 0.99 0.02 0 500 142.058 19.321 104 141
tpca 0.995 0.02 0 500 142.058 19.321 104 141
tpca 0.999 0.02 0 500 142.058 19.321 104 141
max_pca 1 0.02 0.25 500 1983.3 163.631 2000 2000
max_pca 2 0.02 0.25 500 1934.992 336.811 206 2000
max_pca 3 0.02 0.25 500 1042.666 910.411 120.475 223.1
max_pca 5 0.02 0.25 500 121.896 26.27 79 119
max_pca 10 0.02 0.25 500 92.152 14.545 66.475 91
max_pca 20 0.02 0.25 500 71.71 9.868 52 71
min_pca 1 0.02 0.25 500 1415.49 881.579 30.85 2000
min_pca 2 0.02 0.25 500 1391.508 880.17 62.475 2000
min_pca 3 0.02 0.25 500 1114.298 934.349 68.95 2000
min_pca 5 0.02 0.25 500 606.758 801.395 84 164
min_pca 10 0.02 0.25 500 167.032 219.88 97 140
min_pca 20 0.02 0.25 500 143.102 17.609 111 142
tpca 0.8 0.02 0.25 500 1114.298 934.349 68.95 2000
tpca 0.9 0.02 0.25 500 333.556 562.996 82.475 149
tpca 0.95 0.02 0.25 500 149.344 145.794 96.475 137
tpca 0.99 0.02 0.25 500 147.83 85.02 109.475 143
tpca 0.995 0.02 0.25 500 147.83 85.02 109.475 143
tpca 0.999 0.02 0.25 500 147.83 85.02 109.475 143
max_pca 1 0.02 0.5 500 1982.736 169.797 2000 2000
max_pca 2 0.02 0.5 500 1930.756 348.932 193.475 2000
max_pca 3 0.02 0.5 500 1021.978 908.011 109.475 221.05
max_pca 5 0.02 0.5 500 126.328 87.935 76 119
max_pca 10 0.02 0.5 500 92.492 14.637 64.475 91
max_pca 20 0.02 0.5 500 71.848 9.908 53 72
min_pca 1 0.02 0.5 500 1567.228 797.407 50.425 2000
min_pca 2 0.02 0.5 500 1611.726 758.61 90.475 2000
min_pca 3 0.02 0.5 500 1207.184 917.732 94.425 2000
min_pca 5 0.02 0.5 500 657.87 821.557 101 172
min_pca 10 0.02 0.5 500 157.036 144.82 106 145.025
min_pca 20 0.02 0.5 500 153.45 118.164 117 145
tpca 0.8 0.02 0.5 500 1207.184 917.732 94.425 2000
tpca 0.9 0.02 0.5 500 351.846 574.622 99.475 156
tpca 0.95 0.02 0.5 500 154.258 144.971 104 142
tpca 0.99 0.02 0.5 500 155.288 118.122 118 147
tpca 0.995 0.02 0.5 500 155.288 118.122 118 147
tpca 0.999 0.02 0.5 500 155.288 118.122 118 147
max_pca 1 0.02 0.75 500 1979.722 174.638 2000 2000
max_pca 2 0.02 0.75 500 1909.278 396.014 182.475 2000
max_pca 3 0.02 0.75 500 1107.612 915.503 111 280.25
max_pca 5 0.02 0.75 500 121.552 25.905 77 119
max_pca 10 0.02 0.75 500 92.036 15.33 64.475 90
max_pca 20 0.02 0.75 500 71.576 10.261 53 70
min_pca 1 0.02 0.75 500 1839.698 523.259 118.375 2000
min_pca 2 0.02 0.75 500 1885.976 444.034 153.475 2000
min_pca 3 0.02 0.75 500 1424.154 852.134 123.475 2000
min_pca 5 0.02 0.75 500 720.058 842.956 123.95 180.025
min_pca 10 0.02 0.75 500 164.892 165.941 114 148
min_pca 20 0.02 0.75 500 148.786 14.181 121 148
tpca 0.8 0.02 0.75 500 1424.154 852.134 123.475 2000
tpca 0.9 0.02 0.75 500 318.598 516.768 113.475 163
tpca 0.95 0.02 0.75 500 154.29 118.437 110.475 145.025
tpca 0.99 0.02 0.75 500 154.11 84.007 121 149
tpca 0.995 0.02 0.75 500 154.11 84.007 121 149
tpca 0.999 0.02 0.75 500 154.11 84.007 121 149
max_pca 1 0.98 0 500 70.124 18.85 37 67
max_pca 2 0.98 0 500 65.166 14.837 39 63
max_pca 3 0.98 0 500 64.594 12.386 42 63
max_pca 5 0.98 0 500 63.288 10.939 44 62
max_pca 10 0.98 0 500 60.182 8.765 45 59
max_pca 20 0.98 0 500 54.138 6.863 41 54
min_pca 1 0.98 0 500 5.496 2.402 2 5
min_pca 2 0.98 0 500 7.238 2.56 3 7
min_pca 3 0.98 0 500 11.392 3.459 5 11
min_pca 5 0.98 0 500 18.724 4.141 11 18
min_pca 10 0.98 0 500 32.698 4.955 24 32
min_pca 20 0.98 0 500 50.07 5.229 40 50
tpca 0.8 0.98 0 500 11.392 3.459 5 11
tpca 0.9 0.98 0 500 21.57 4.475 13 21
tpca 0.95 0.98 0 500 32.582 4.907 24 32
tpca 0.99 0.98 0 500 48.464 5.221 38 48
tpca 0.995 0.98 0 500 48.464 5.221 38 48
tpca 0.999 0.98 0 500 48.464 5.221 38 48
max_pca 1 0.98 0.25 500 126.502 97.101 51.475 116
max_pca 2 0.98 0.25 500 97.882 26.968 55 92
max_pca 3 0.98 0.25 500 87.162 20.559 54.475 84
max_pca 5 0.98 0.25 500 76.522 14.381 52 75
max_pca 10 0.98 0.25 500 68.036 10.102 49 67
max_pca 20 0.98 0.25 500 58.628 8.221 44 58
min_pca 1 0.98 0.25 500 6.494 2.856 3 6
min_pca 2 0.98 0.25 500 8.918 3.253 4 8
min_pca 3 0.98 0.25 500 14.19 4.257 7 13
min_pca 5 0.98 0.25 500 23.244 5.229 14 23
min_pca 10 0.98 0.25 500 38.942 5.617 28.475 39
min_pca 20 0.98 0.25 500 57.612 5.836 46.475 57
tpca 0.8 0.98 0.25 500 14.19 4.257 7 13
tpca 0.9 0.98 0.25 500 26.318 5.476 16.475 26
tpca 0.95 0.98 0.25 500 38.68 5.635 27.475 38
tpca 0.99 0.98 0.25 500 55.99 5.882 45 55
tpca 0.995 0.98 0.25 500 55.99 5.882 45 55
tpca 0.999 0.98 0.25 500 55.99 5.882 45 55
max_pca 1 0.98 0.5 500 1012.622 893.367 95 294.225
max_pca 2 0.98 0.5 500 258.7 429.836 77 145
max_pca 3 0.98 0.5 500 119.27 29.748 69 115
max_pca 5 0.98 0.5 500 92.672 18.433 59.95 91
max_pca 10 0.98 0.5 500 77.532 12.387 55 76
max_pca 20 0.98 0.5 500 63.782 8.986 46.475 63
min_pca 1 0.98 0.5 500 9.26 4.02 3 8
min_pca 2 0.98 0.5 500 13.136 4.42 6 12
min_pca 3 0.98 0.5 500 21.234 5.467 12 21
min_pca 5 0.98 0.5 500 32.828 6.139 21.475 32
min_pca 10 0.98 0.5 500 50.796 6.597 39 50
min_pca 20 0.98 0.5 500 70.614 7.035 57 70
tpca 0.8 0.98 0.5 500 21.234 5.467 12 21
tpca 0.9 0.98 0.5 500 36.794 6.374 25 36
tpca 0.95 0.98 0.5 500 50.402 6.461 39 50
tpca 0.99 0.98 0.5 500 68.876 7.263 55 68
tpca 0.995 0.98 0.5 500 68.876 7.263 55 68
tpca 0.999 0.98 0.5 500 68.876 7.263 55 68
max_pca 1 0.98 0.75 500 1885.408 439.033 192.425 2000
max_pca 2 0.98 0.75 500 1332.996 875.868 114.475 2000
max_pca 3 0.98 0.75 500 293.834 485.333 87.425 153
max_pca 5 0.98 0.75 500 107.712 21.384 69 105
max_pca 10 0.98 0.75 500 85.122 13.631 60 84
max_pca 20 0.98 0.75 500 67.774 9.616 51 66
min_pca 1 0.98 0.75 500 17.158 7.125 6 16
min_pca 2 0.98 0.75 500 25.3 7.739 13 24
min_pca 3 0.98 0.75 500 37.73 8.759 22 37
min_pca 5 0.98 0.75 500 54.09 9.372 36 53
min_pca 10 0.98 0.75 500 72.524 9.503 56 71
min_pca 20 0.98 0.75 500 90.974 8.671 74 90
tpca 0.8 0.98 0.75 500 37.73 8.759 22 37
tpca 0.9 0.98 0.75 500 57.588 9.243 41 57
tpca 0.95 0.98 0.75 500 71.766 9.276 55 71
tpca 0.99 0.98 0.75 500 89.818 8.819 73 89
tpca 0.995 0.98 0.75 500 89.818 8.819 73 89
tpca 0.999 0.98 0.75 500 89.818 8.819 73 89
