method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.9 1 500 1371.91 869.015 68.9 2000
max_pca 2 0.9 1 500 1132.92 924.257 61.95 2000
max_pca 3 0.9 1 500 1051.322 928.279 66 236.325
max_pca 5 0.9 1 500 85.224 175.138 28 60.025
max_pca 10 0.9 1 500 24.452 7.082 13 23
max_pca 20 0.9 1 500 13.078 2.59 9 13
min_pca 1 0.9 1 500 10.656 126.388 2 2
min_pca 2 0.9 1 500 2 0 2 2
min_pca 3 0.9 1 500 2 0 2 2
min_pca 5 0.9 1 500 2 0 2 2
min_pca 10 0.9 1 500 2.018 0.133 2 2
min_pca 20 0.9 1 500 2.364 0.514 2 2
tpca 0.8 0.9 1 500 2 0 2 2
tpca 0.9 0.9 1 500 2 0 2 2
tpca 0.95 0.9 1 500 2 0 2 2
tpca 0.99 0.9 1 500 2 0 2 2
tpca 0.995 0.9 1 500 2 0 2 2
tpca 0.999 0.9 1 500 2.026 0.159 2 2
mix 0.03 0.9 1.3 500 2.836 0.371 2 3
mix 0.1 0.9 1.3 500 2.472 0.5 2 2
mix 0.3 0.9 1.3 500 2.192 0.394 2 2
mix 1 0.9 1.3 500 2.058 0.234 2 2
max_pca 1 0.9 1.3 500 887.206 913.995 35 185.1
max_pca 2 0.9 1.3 500 676.312 862.037 35.475 134.025
max_pca 3 0.9 1.3 500 569.734 810.721 38 122
max_pca 5 0.9 1.3 500 43.364 22.684 17 37
max_pca 10 0.9 1.3 500 15.568 3.934 9 15
max_pca 20 0.9 1.3 500 8.578 1.607 6 8
min_pca 1 0.9 1.3 500 2.164 1.648 2 2
min_pca 2 0.9 1.3 500 2 0 2 2
min_pca 3 0.9 1.3 500 2 0 2 2
min_pca 5 0.9 1.3 500 2 0 2 2
min_pca 10 0.9 1.3 500 2 0 2 2
min_pca 20 0.9 1.3 500 2.086 0.281 2 2
tpca 0.8 0.9 1.3 500 2 0 2 2
tpca 0.9 0.9 1.3 500 2 0 2 2
tpca 0.95 0.9 1.3 500 2 0 2 2
tpca 0.99 0.9 1.3 500 2 0 2 2
tpca 0.995 0.9 1.3 500 2 0 2 2
tpca 0.999 0.9 1.3 500 2 0 2 2
mix 0.03 0.7 0.5 500 10.094 2.12 6 10
mix 0.1 0.7 0.5 500 8.776 1.842 5 9
mix 0.3 0.7 0.5 500 8.062 1.655 5 8
mix 1 0.7 0.5 500 7.676 1.572 5 7
max_pca 1 0.7 0.5 500 1965.744 229.252 1799.95 2000
max_pca 2 0.7 0.5 500 1951.004 291.506 735.85 2000
max_pca 3 0.7 0.5 500 1884.744 441.661 174.325 2000
max_pca 5 0.7 0.5 500 1185.24 913.59 91 2000
max_pca 10 0.7 0.5 500 98.512 124.819 42 83.025
max_pca 20 0.7 0.5 500 44.046 10.6 25.475 42
min_pca 1 0.7 0.5 500 40.998 265.875 2 2
min_pca 2 0.7 0.5 500 2.094 0.581 2 2
min_pca 3 0.7 0.5 500 2.176 0.768 2 2
min_pca 5 0.7 0.5 500 2.324 0.77 2 2
min_pca 10 0.7 0.5 500 3.17 1.42 2 3
min_pca 20 0.7 0.5 500 5.224 2.299 3 4
tpca 0.8 0.7 0.5 500 2.094 0.581 2 2
tpca 0.9 0.7 0.5 500 2.176 0.768 2 2
tpca 0.95 0.7 0.5 500 2.262 0.848 2 2
tpca 0.99 0.7 0.5 500 2.324 0.77 2 2
tpca 0.995 0.7 0.5 500 2.48 0.923 2 2
tpca 0.999 0.7 0.5 500 3.182 1.448 2 3
mix 0.03 0.7 0.7 500 6.078 1.087 4 6
mix 0.1 0.7 0.7 500 5.322 0.951 4 5
mix 0.3 0.7 0.7 500 4.894 0.888 3 5
mix 1 0.7 0.7 500 4.688 0.849 3 5
max_pca 1 0.7 0.7 500 1850.118 495.594 148.375 2000
max_pca 2 0.7 0.7 500 1753.044 623.79 119.9 2000
max_pca 3 0.7 0.7 500 1616.67 745.116 99.475 2000
max_pca 5 0.7 0.7 500 549.392 786.075 54.95 132
max_pca 10 0.7 0.7 500 56.758 20.557 26 53
max_pca 20 0.7 0.7 500 27.856 6.574 17 27
min_pca 1 0.7 0.7 500 18.812 178.143 2 2
min_pca 2 0.7 0.7 500 2.01 0.1 2 2
min_pca 3 0.7 0.7 500 2.016 0.126 2 2
min_pca 5 0.7 0.7 500 2.05 0.218 2 2
min_pca 10 0.7 0.7 500 2.38 0.613 2 2
min_pca 20 0.7 0.7 500 3.606 1.022 2.475 3
tpca 0.8 0.7 0.7 500 2.01 0.1 2 2
tpca 0.9 0.7 0.7 500 2.016 0.126 2 2
tpca 0.95 0.7 0.7 500 2.028 0.177 2 2
tpca 0.99 0.7 0.7 500 2.05 0.218 2 2
tpca 0.995 0.7 0.7 500 2.106 0.327 2 2
tpca 0.999 0.7 0.7 500 2.386 0.634 2 2
mix 0.03 0.7 1 500 3.832 0.548 3 4
mix 0.1 0.7 1 500 3.418 0.51 3 3
mix 0.3 0.7 1 500 3.17 0.449 2 3
mix 1 0.7 1 500 3.036 0.418 2 3
max_pca 1 0.7 1 500 1508.442 813.112 66.9 2000
max_pca 2 0.7 1 500 1260.368 905.073 58.475 2000
max_pca 3 0.7 1 500 1060.518 931.274 50.425 243.125
max_pca 5 0.7 1 500 187.646 435.71 29 73
max_pca 10 0.7 1 500 32.312 12.645 17 29
max_pca 20 0.7 1 500 16.47 4.249 10 16
min_pca 1 0.7 1 500 3.112 7.823 2 2
min_pca 2 0.7 1 500 2.012 0.19 2 2
min_pca 3 0.7 1 500 2.008 0.126 2 2
min_pca 5 0.7 1 500 2.012 0.126 2 2
min_pca 10 0.7 1 500 2.094 0.343 2 2
min_pca 20 0.7 1 500 2.71 0.703 2 3
tpca 0.8 0.7 1 500 2.012 0.19 2 2
tpca 0.9 0.7 1 500 2.008 0.126 2 2
tpca 0.95 0.7 1 500 2.01 0.134 2 2
tpca 0.99 0.7 1 500 2.012 0.126 2 2
tpca 0.995 0.7 1 500 2.02 0.178 2 2
tpca 0.999 0.7 1 500 2.11 0.366 2 2
mix 0.03 0.7 1.3 500 2.98 0.289 2 3
mix 0.1 0.7 1.3 500 2.76 0.432 2 3
mix 0.3 0.7 1.3 500 2.534 0.499 2 3
mix 1 0.7 1.3 500 2.366 0.482 2 2
max_pca 1 0.7 1.3 500 1151.83 932.609 31.9 2000
max_pca 2 0.7 1.3 500 752.722 892.788 32 143.05
max_pca 3 0.7 1.3 500 565.872 819.221 31.475 105
max_pca 5 0.7 1.3 500 80.236 231.396 15.475 44
